날짜,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계,연,월,일,요일
2016-01-01,O,구름 조금,3359,2799,141.0,419,47,0,1023,4382,2016,1,1,4
2016-01-02,O,구름 많음,5173,4370,203.0,600,100,111,2092,7265,2016,1,2,5
2016-01-03,O,구름 많음,3008,2571,128.0,309,91,0,1549,4557,2016,1,3,6
2016-01-04,X,구름 많음,890,602,,235,51,223,800,1690,2016,1,4,0
2016-01-05,X,구름 많음,416,319,35.0,62,43,47,840,1256,2016,1,5,1
2016-01-06,X,구름 조금,367,277,41.0,49,34,0,807,1174,2016,1,6,2
2016-01-07,X,맑음,309,250,23.0,36,13,0,735,1044,2016,1,7,3
2016-01-08,X,구름 조금,315,251,28.0,36,30,0,611,926,2016,1,8,4
2016-01-09,O,구름 많음,1418,1227,78.0,113,47,80,1222,2640,2016,1,9,5
2016-01-10,O,구름 많음,2211,1839,96.0,276,34,61,1393,3604,2016,1,10,6
2016-01-11,X,구름 조금,368,268,40.0,60,23,0,628,996,2016,1,11,0
2016-01-12,X,구름 조금,862,531,27.0,304,12,614,780,1642,2016,1,12,1
2016-01-13,X,구름 많음,240,192,21.0,27,24,0,767,1007,2016,1,13,2
2016-01-14,X,구름 조금,252,200,37.0,15,13,5,620,872,2016,1,14,3
2016-01-15,X,구름 조금,339,253,35.0,51,14,0,708,1047,2016,1,15,4
2016-01-16,O,구름 많음,1720,1395,97.0,228,23,167,1277,2997,2016,1,16,5
2016-01-17,O,흐림,2313,1954,94.0,265,9,30,1135,3448,2016,1,17,6
2016-01-18,X,구름 많음,216,162,29.0,25,9,0,592,808,2016,1,18,0
2016-01-19,X,맑음,78,61,9.0,8,13,0,222,300,2016,1,19,1
2016-01-20,X,맑음,82,69,7.0,6,17,0,340,422,2016,1,20,2
2016-01-21,X,구름 많음,153,119,15.0,19,3,0,474,627,2016,1,21,3
2016-01-22,X,구름 조금,128,81,32.0,15,6,0,458,586,2016,1,22,4
2016-01-23,O,구름 조금,296,198,80.0,18,6,71,594,890,2016,1,23,5
2016-01-24,O,구름 조금,128,110,9.0,9,23,0,196,324,2016,1,24,6
2016-01-25,X,맑음,72,58,10.0,4,5,0,350,422,2016,1,25,0
2016-01-26,X,눈,150,123,11.0,16,10,0,608,758,2016,1,26,1
2016-01-27,X,구름 조금,394,287,61.0,46,29,0,824,1218,2016,1,27,2
2016-01-28,X,구름 많음,370,290,46.0,34,9,0,776,1146,2016,1,28,3
2016-01-29,X,흐림,1074,663,50.0,361,46,571,703,1777,2016,1,29,4
2016-01-30,O,구름 조금,2655,2266,146.0,243,72,0,1473,4128,2016,1,30,5
2016-01-31,O,구름 조금,1510,1304,57.0,149,28,0,1074,2584,2016,1,31,6
2016-02-01,X,맑음,3238,188,3033.0,17,18,3000,508,3746,2016,2,1,0
2016-02-02,X,맑음,2199,166,2023.0,10,8,2000,728,2927,2016,2,2,1
2016-02-03,X,구름 조금,296,264,23.0,9,32,0,834,1130,2016,2,3,2
2016-02-04,X,구름 조금,371,319,31.0,21,28,0,749,1120,2016,2,4,3
2016-02-05,X,구름 조금,304,234,41.0,29,14,0,536,840,2016,2,5,4
2016-02-06,O,맑음,1082,924,53.0,105,40,0,976,2058,2016,2,6,5
2016-02-07,O,맑음,1452,1251,74.0,127,191,0,676,2128,2016,2,7,6
2016-02-08,O,구름 많음,2654,2286,123.0,245,429,0,567,3221,2016,2,8,0
2016-02-09,O,맑음,5453,4610,223.0,620,209,0,1607,7060,2016,2,9,1
2016-02-10,O,맑음,7080,6037,251.0,792,141,0,2869,9949,2016,2,10,2
2016-02-11,X,구름 많음,2077,1545,113.0,419,98,671,1021,3098,2016,2,11,3
2016-02-12,X,비,97,74,17.0,6,0,0,260,357,2016,2,12,4
2016-02-13,O,흐림,1609,1401,41.0,167,54,45,1133,2742,2016,2,13,5
2016-02-14,O,흐림,1053,862,83.0,108,63,0,989,2042,2016,2,14,6
2016-02-15,X,맑음,250,194,,29,39,0,446,696,2016,2,15,0
2016-02-16,X,구름 많음,235,178,25.0,32,40,0,759,994,2016,2,16,1
2016-02-17,X,맑음,579,440,93.0,46,21,0,850,1429,2016,2,17,2
2016-02-18,X,구름 많음,698,529,83.0,86,68,0,924,1622,2016,2,18,3
2016-02-19,X,구름 많음,737,555,98.0,84,26,0,893,1630,2016,2,19,4
2016-02-20,O,구름 조금,4718,3926,193.0,599,45,73,1908,6626,2016,2,20,5
2016-02-21,O,맑음,3507,2911,157.0,439,89,0,1595,5102,2016,2,21,6
2016-02-22,X,흐림,693,522,74.0,97,8,0,705,1398,2016,2,22,0
2016-02-23,X,구름 많음,815,559,106.0,150,32,65,911,1726,2016,2,23,1
2016-02-24,X,맑음,542,371,82.0,89,19,33,791,1333,2016,2,24,2
2016-02-25,X,구름 조금,723,524,80.0,119,15,0,815,1538,2016,2,25,3
2016-02-26,X,구름 조금,1375,992,194.0,189,19,69,1144,2519,2016,2,26,4
2016-02-27,O,구름 많음,4798,3990,197.0,611,0,175,1721,6519,2016,2,27,5
2016-02-28,O,구름 많음,3366,2748,153.0,465,51,0,1604,4970,2016,2,28,6
2016-02-29,X,구름 조금,674,476,92.0,106,27,0,559,1233,2016,2,29,0
2016-03-01,O,맑음,2937,2450,198.0,289,31,104,1570,4507,2016,3,1,1
2016-03-02,X,구름 조금,1171,878,21.0,272,8,605,975,2146,2016,3,2,2
2016-03-03,X,흐림,733,721,2.0,10,20,0,1050,1783,2016,3,3,3
2016-03-04,X,흐림,1629,1572,16.0,41,2,63,1154,2783,2016,3,4,4
2016-03-05,O,흐림,568,495,12.0,61,10,0,837,1405,2016,3,5,5
2016-03-06,O,구름 많음,8797,7669,219.0,909,108,0,2767,11564,2016,3,6,6
2016-03-07,X,구름 많음,705,683,5.0,17,21,0,775,1480,2016,3,7,0
2016-03-08,X,,10480,465,10007.0,8,8,10000,1041,11521,2016,3,8,1
2016-03-09,X,,393,384,2.0,7,41,0,862,1255,2016,3,9,2
2016-03-10,X,,294,283,0.0,11,14,30,890,1184,2016,3,10,3
2016-03-11,X,,1569,975,12.0,582,21,1209,736,2305,2016,3,11,4
2016-03-12,O,흐림,5251,4427,171.0,653,55,86,2209,7460,2016,3,12,5
2016-03-13,O,흐림,4557,3897,125.0,535,87,100,1795,6352,2016,3,13,6
2016-03-14,X,구름 많음,1215,1175,10.0,30,57,0,1170,2385,2016,3,14,0
2016-03-15,X,맑음,1238,1205,10.0,23,53,41,1303,2541,2016,3,15,1
2016-03-16,X,구름 조금,1513,1465,7.0,41,40,0,1184,2697,2016,3,16,2
2016-03-17,X,구름 조금,1342,1270,37.0,35,36,62,1187,2529,2016,3,17,3
2016-03-18,X,흐림,1736,1663,13.0,48,29,0,1100,2836,2016,3,18,4
2016-03-19,O,구름 조금,26448,22735,422.0,2990,112,178,6683,33131,2016,3,19,5
2016-03-20,O,구름 조금,27093,22947,535.0,3370,176,0,7267,34360,2016,3,20,6
2016-03-21,X,맑음,2358,2223,14.0,70,58,0,1179,3537,2016,3,21,0
2016-03-22,X,구름 조금,1832,1755,20.0,41,74,53,1506,3338,2016,3,22,1
2016-03-23,X,구름 조금,1553,1365,58.0,69,22,57,1234,2787,2016,3,23,2
2016-03-24,X,맑음,1322,1223,37.0,61,50,63,1116,2438,2016,3,24,3
2016-03-25,X,구름 조금,1999,1705,79.0,85,65,38,1292,3291,2016,3,25,4
2016-03-26,O,맑음,16958,14114,408.0,2094,192,62,4790,21748,2016,3,26,5
2016-03-27,O,맑음,23610,20041,487.0,2860,205,60,6879,30489,2016,3,27,6
2016-03-28,X,맑음,2666,2477,85.0,86,97,131,1470,4136,2016,3,28,0
2016-03-29,X,구름 많음,1133,1013,29.0,91,47,62,1115,2248,2016,3,29,1
2016-03-30,X,구름 많음,3740,2135,1195.0,341,70,1834,1117,4857,2016,3,30,2
2016-03-31,X,구름 많음,3174,2494,406.0,152,100,393,1584,4758,2016,3,31,3
2016-04-01,X,맑음,5730,4131,1210.0,274,47,1158,1807,7537,2016,4,1,4
2016-04-02,O,구름 조금,31407,26605,561.0,3643,169,201,6380,37787,2016,4,2,5
2016-04-03,O,흐림,8038,6498,347.0,959,141,785,1914,9952,2016,4,3,6
2016-04-04,X,구름 조금,4515,4219,52.0,188,59,105,2298,6813,2016,4,4,0
2016-04-05,X,맑음,4652,4278,75.0,116,79,343,2800,7452,2016,4,5,1
2016-04-06,X,구름 조금,5973,4467,1202.0,252,50,1928,3059,9032,2016,4,6,2
2016-04-07,X,비,2863,2638,117.0,69,72,379,2150,5013,2016,4,7,3
2016-04-08,X,구름 조금,7731,5984,1187.0,232,94,1730,3639,11370,2016,4,8,4
2016-04-09,O,구름 많음,25027,20664,825.0,2840,226,214,7852,32879,2016,4,9,5
2016-04-10,O,구름 많음,26912,22441,936.0,3192,446,176,6227,33139,2016,4,10,6
2016-04-11,X,맑음,7948,5223,2145.0,424,97,2583,3365,11313,2016,4,11,0
2016-04-12,X,구름 많음,7146,4595,2101.0,289,89,3684,4882,12028,2016,4,12,1
2016-04-13,O,비,20915,17011,708.0,2795,172,97,5490,26405,2016,4,13,2
2016-04-14,X,구름 많음,4129,2683,778.0,444,125,1814,2950,7079,2016,4,14,3
2016-04-15,X,맑음,9746,4904,2614.0,2028,115,6692,4482,14228,2016,4,15,4
2016-04-16,O,구름 많음,10410,8454,268.0,1331,162,549,3744,14154,2016,4,16,5
2016-04-17,O,구름 많음,11445,9618,278.0,1335,160,90,2760,14205,2016,4,17,6
2016-04-18,X,구름 조금,3322,2591,17.0,387,64,660,2540,5862,2016,4,18,0
2016-04-19,X,구름 조금,8972,2721,5064.0,1087,26,6926,3079,12051,2016,4,19,1
2016-04-20,X,,2562,1890,10.0,567,76,1854,3931,6493,2016,4,20,2
2016-04-21,X,,2245,966,57.0,1155,19,1482,1244,3489,2016,4,21,3
2016-04-22,X,,4562,2971,208.0,1158,23,4091,5232,9794,2016,4,22,4
2016-04-23,O,,10921,8874,155.0,1383,220,996,3440,14361,2016,4,23,5
2016-04-24,O,,15883,13281,217.0,2019,516,748,3759,19642,2016,4,24,6
2016-04-25,X,맑음,16616,2564,10248.0,3649,75,15073,3363,19979,2016,4,25,0
2016-04-26,X,,6999,2805,2217.0,1849,61,5832,4100,11099,2016,4,26,1
2016-04-27,X,구름 많음,5318,3451,261.0,1233,56,4548,4017,9335,2016,4,27,2
2016-04-28,X,,4498,2821,421.0,1119,67,5376,6653,11151,2016,4,28,3
2016-04-29,X,,10245,4320,3724.0,1321,53,7273,4839,15084,2016,4,29,4
2016-04-30,O,,16831,13675,431.0,2050,343,1585,4905,21736,2016,4,30,5
2016-05-01,O,구름 조금,25630,21986,570.0,3074,399,367,5660,31290,2016,5,1,6
2016-05-02,X,구름 많음,6307,2712,57.0,3538,50,3626,1449,7756,2016,5,2,0
2016-05-03,X,,400,76,321.0,3,2,315,354,754,2016,5,3,1
2016-05-04,X,,7703,2649,4659.0,395,139,5942,3312,11015,2016,5,4,2
2016-05-05,O,,40219,38511,1708.0,0,476,35,18469,58688,2016,5,5,3
2016-05-06,O,비,6211,4764,416.0,1031,61,0,1951,8162,2016,5,6,4
2016-05-07,O,,20749,16823,1083.0,2843,303,221,5863,26612,2016,5,7,5
2016-05-08,O,구름 조금,15538,13315,571.0,1652,409,97,4181,19719,2016,5,8,6
2016-05-09,X,구름 많음,4644,2403,1823.0,418,24,2296,2239,6883,2016,5,9,0
2016-05-10,X,,1456,330,781.0,345,3,1365,802,2258,2016,5,10,1
2016-05-11,X,,3842,2654,813.0,375,61,2647,3970,7812,2016,5,11,2
2016-05-12,X,,11455,5174,3651.0,2630,91,11190,5560,17015,2016,5,12,3
2016-05-13,X,,11619,3870,6565.0,1184,87,10016,5917,17536,2016,5,13,4
2016-05-14,O,구름 조금,27074,23106,743.0,3225,262,415,6805,33879,2016,5,14,5
2016-05-15,O,구름 많음,10528,8826,364.0,1338,212,231,3957,14485,2016,5,15,6
2016-05-16,X,,2821,2451,30.0,340,72,1026,2601,5422,2016,5,16,0
2016-05-17,X,맑음,4086,3392,23.0,671,120,2199,4337,8423,2016,5,17,1
2016-05-18,X,,3373,2629,119.0,625,68,2343,4194,7567,2016,5,18,2
2016-05-19,X,맑음,5075,2497,2063.0,515,30,5026,4992,10067,2016,5,19,3
2016-05-20,X,맑음,17709,2909,13147.0,1653,103,17416,6267,23976,2016,5,20,4
2016-05-21,O,,18569,15551,513.0,2505,312,5595,5556,24125,2016,5,21,5
2016-05-22,O,,14802,12990,436.0,1376,390,308,4381,19183,2016,5,22,6
2016-05-23,X,,3040,2764,193.0,83,36,824,2767,5807,2016,5,23,0
2016-05-24,X,,3466,744,2631.0,91,63,2984,1377,4843,2016,5,24,1
2016-05-25,X,구름 많음,3711,3069,210.0,432,92,2491,4801,8512,2016,5,25,2
2016-05-26,X,구름 많음,5834,2620,3099.0,115,69,5220,5175,11009,2016,5,26,3
2016-05-27,X,,8394,4919,3098.0,377,145,5554,4980,13374,2016,5,27,4
2016-05-28,O,,21874,19064,646.0,2164,388,1819,8131,30005,2016,5,28,5
2016-05-29,O,흐림,23785,20954,776.0,2055,918,465,6756,30541,2016,5,29,6
2016-05-30,X,,4065,3846,41.0,178,228,389,2567,6632,2016,5,30,0
2016-05-31,X,,4643,3920,443.0,280,188,1790,4126,8769,2016,5,31,1
2016-06-01,X,,3946,3592,191.0,163,170,1093,3813,7759,2016,6,1,2
2016-06-02,X,,7097,4872,697.0,1528,77,4663,4195,11292,2016,6,2,3
2016-06-03,X,구름 조금,9236,4168,4882.0,186,163,5631,3641,12877,2016,6,3,4
2016-06-04,O,,26790,23308,727.0,2755,397,389,7012,33802,2016,6,4,5
2016-06-05,O,구름 조금,33504,28943,1079.0,3482,729,190,8239,41743,2016,6,5,6
2016-06-06,O,,31030,26358,1423.0,3249,498,392,8241,39271,2016,6,6,0
2016-06-07,X,흐림,4116,3086,424.0,606,178,1378,3217,7333,2016,6,7,1
2016-06-08,X,구름 많음,2868,2743,40.0,85,96,1023,3303,6171,2016,6,8,2
2016-06-09,X,구름 조금,2569,2231,286.0,52,57,993,2945,5514,2016,6,9,3
2016-06-10,X,,4809,2451,1705.0,653,161,3476,3201,8010,2016,6,10,4
2016-06-11,O,,12106,10669,288.0,1149,285,996,3678,15784,2016,6,11,5
2016-06-12,O,,10813,9668,243.0,902,339,157,3293,14106,2016,6,12,6
2016-06-13,X,,1967,1808,6.0,153,36,522,1917,3884,2016,6,13,0
2016-06-14,X,,1512,1355,8.0,149,88,466,2135,3647,2016,6,14,1
2016-06-15,X,,268,256,3.0,9,42,76,578,846,2016,6,15,2
2016-06-16,X,,2560,2417,21.0,122,66,1571,2012,4572,2016,6,16,3
2016-06-17,X,,2166,1900,35.0,231,87,843,2313,4479,2016,6,17,4
2016-06-18,O,,10133,8888,169.0,1076,191,375,3805,13938,2016,6,18,5
2016-06-19,O,,9586,8472,165.0,949,311,32,3353,12939,2016,6,19,6
2016-06-20,X,,2865,2239,28.0,598,91,94,1526,4391,2016,6,20,0
2016-06-21,X,,1230,1181,16.0,33,105,305,1537,2767,2016,6,21,1
2016-06-22,X,,579,508,43.0,28,51,104,1031,1610,2016,6,22,2
2016-06-23,X,,1792,1572,22.0,198,48,472,1872,3664,2016,6,23,3
2016-06-24,X,,668,629,6.0,33,45,110,837,1505,2016,6,24,4
2016-06-25,O,구름 많음,10213,9060,127.0,1026,141,123,3586,13799,2016,6,25,5
2016-06-26,O,,9464,8405,116.0,943,242,65,3788,13252,2016,6,26,6
2016-06-27,X,,1713,1603,42.0,68,72,90,1325,3038,2016,6,27,0
2016-06-28,X,,1420,1283,51.0,86,146,168,1198,2618,2016,6,28,1
2016-06-29,X,구름 많음,1318,1224,21.0,73,48,45,1120,2438,2016,6,29,2
2016-06-30,X,비,1202,1120,29.0,53,62,185,1155,2357,2016,6,30,3
2016-07-01,X,비,2000,1182,16.0,802,57,1675,712,2712,2016,7,1,4
2016-07-02,O,,6456,5707,71.0,678,170,0,2670,9126,2016,7,2,5
2016-07-03,O,흐림,8052,7175,61.0,816,253,0,2791,10843,2016,7,3,6
2016-07-04,X,비,205,179,5.0,21,65,0,472,677,2016,7,4,0
2016-07-05,X,,73,27,45.0,1,4,35,182,255,2016,7,5,1
2016-07-06,X,,984,807,92.0,85,31,0,859,1843,2016,7,6,2
2016-07-07,X,비,1044,851,64.0,129,106,103,991,2035,2016,7,7,3
2016-07-08,X,구름 조금,1645,1281,286.0,78,98,215,1453,3098,2016,7,8,4
2016-07-09,O,구름 조금,3526,3066,166.0,294,187,71,1933,5459,2016,7,9,5
2016-07-10,O,구름 많음,3137,2700,155.0,282,140,0,1551,4688,2016,7,10,6
2016-07-11,X,구름 많음,721,643,25.0,53,56,46,866,1587,2016,7,11,0
2016-07-12,X,비,10735,493,10208.0,34,81,10162,953,11688,2016,7,12,1
2016-07-13,X,구름 많음,3116,914,2134.0,68,53,2169,941,4057,2016,7,13,2
2016-07-14,X,구름 많음,1098,787,243.0,68,76,245,999,2097,2016,7,14,3
2016-07-15,X,흐림,2188,904,105.0,1179,70,30,924,3112,2016,7,15,4
2016-07-16,O,비,411,356,11.0,44,20,0,591,1002,2016,7,16,5
2016-07-17,O,흐림,7120,6192,178.0,750,242,0,2398,9518,2016,7,17,6
2016-07-18,X,구름 많음,1672,1502,49.0,121,125,67,1181,2853,2016,7,18,0
2016-07-19,X,구름 조금,1147,946,112.0,89,182,119,1120,2267,2016,7,19,1
2016-07-20,X,구름 많음,821,674,57.0,90,108,0,887,1708,2016,7,20,2
2016-07-21,X,구름 많음,925,745,90.0,90,63,0,914,1839,2016,7,21,3
2016-07-22,X,구름 많음,677,547,78.0,52,78,0,723,1400,2016,7,22,4
2016-07-23,O,흐림,2744,2367,130.0,247,211,30,1507,4251,2016,7,23,5
2016-07-24,O,비,3152,2654,152.0,346,251,0,1476,4628,2016,7,24,6
2016-07-25,X,구름 많음,1306,1011,99.0,196,83,33,726,2032,2016,7,25,0
2016-07-26,X,구름 많음,1023,821,82.0,120,17,0,837,1860,2016,7,26,1
2016-07-27,X,비,816,623,58.0,135,51,0,646,1462,2016,7,27,2
2016-07-28,X,구름 많음,1523,1192,105.0,226,135,0,860,2383,2016,7,28,3
2016-07-29,X,비,4763,1164,3048.0,551,74,3689,477,5240,2016,7,29,4
2016-07-30,O,비,4445,3708,206.0,531,259,64,1647,6092,2016,7,30,5
2016-07-31,O,구름 많음,3836,3295,164.0,377,378,115,1319,5155,2016,7,31,6
2016-08-01,X,비,3255,2623,180.0,452,374,30,1195,4450,2016,8,1,0
2016-08-02,X,흐림,3117,2495,155.0,467,286,129,1242,4359,2016,8,2,1
2016-08-03,X,구름 많음,1919,1566,105.0,248,205,0,1099,3018,2016,8,3,2
2016-08-04,X,구름 조금,1148,934,77.0,137,98,0,535,1683,2016,8,4,3
2016-08-05,X,구름 조금,1219,937,113.0,169,57,0,547,1766,2016,8,5,4
2016-08-06,O,구름 많음,2027,1632,193.0,202,180,106,1002,3029,2016,8,6,5
2016-08-07,O,구름 많음,1690,1411,99.0,180,127,0,896,2586,2016,8,7,6
2016-08-08,X,구름 많음,657,489,74.0,94,62,0,461,1118,2016,8,8,0
2016-08-09,X,구름 많음,637,474,57.0,106,122,0,551,1188,2016,8,9,1
2016-08-10,X,구름 많음,628,475,56.0,97,68,0,570,1198,2016,8,10,2
2016-08-11,X,구름 조금,642,471,62.0,109,89,0,464,1106,2016,8,11,3
2016-08-12,X,구름 조금,715,544,69.0,102,48,0,507,1222,2016,8,12,4
2016-08-13,O,구름 많음,2176,1760,107.0,309,128,76,1001,3177,2016,8,13,5
2016-08-14,O,비,4961,4327,171.0,463,142,1062,1198,6159,2016,8,14,6
2016-08-15,O,구름 많음,3300,2675,243.0,382,170,0,956,4256,2016,8,15,0
2016-08-16,X,구름 많음,910,704,64.0,142,68,96,518,1428,2016,8,16,1
2016-08-17,X,구름 조금,922,548,242.0,132,59,243,532,1454,2016,8,17,2
2016-08-18,X,구름 많음,10774,599,10023.0,152,91,10038,585,11359,2016,8,18,3
2016-08-19,X,구름 많음,4702,1150,3061.0,491,56,3810,643,5345,2016,8,19,4
2016-08-20,O,구름 많음,4039,3421,133.0,485,168,30,1429,5468,2016,8,20,5
2016-08-21,O,구름 많음,3086,2660,94.0,332,72,0,1343,4429,2016,8,21,6
2016-08-22,X,구름 많음,592,516,15.0,61,65,0,496,1088,2016,8,22,0
2016-08-23,X,비,534,450,13.0,71,36,0,612,1146,2016,8,23,1
2016-08-24,X,구름 많음,623,518,44.0,61,62,0,713,1336,2016,8,24,2
2016-08-25,X,구름 많음,591,536,11.0,44,40,42,698,1289,2016,8,25,3
2016-08-26,X,구름 많음,1532,1442,10.0,80,109,0,1043,2575,2016,8,26,4
2016-08-27,O,구름 조금,15075,13366,242.0,1467,145,139,3960,19035,2016,8,27,5
2016-08-28,O,구름 많음,13758,12114,231.0,1413,166,0,4460,18218,2016,8,28,6
2016-08-29,X,구름 많음,2472,2321,44.0,107,92,0,1164,3636,2016,8,29,0
2016-08-30,X,흐림,2102,1988,39.0,75,55,0,1280,3382,2016,8,30,1
2016-08-31,X,비,20396,44,75.0,20277,0,75,294,20690,2016,8,31,2
2016-09-01,X,비,1354,1224,69.0,61,35,258,1371,2725,2016,9,1,3
2016-09-02,X,구름 많음,1809,1501,211.0,97,50,226,1075,2884,2016,9,2,4
2016-09-03,O,흐림,14477,12693,233.0,1551,153,30,5503,19980,2016,9,3,5
2016-09-04,O,구름 많음,15554,13769,223.0,1562,155,0,4261,19815,2016,9,4,6
2016-09-05,X,구름 많음,1693,1480,142.0,71,140,161,1091,2784,2016,9,5,0
2016-09-06,X,구름 많음,1347,1191,131.0,25,62,258,1459,2806,2016,9,6,1
2016-09-07,X,구름 많음,1426,1176,25.0,225,42,489,1142,2568,2016,9,7,2
2016-09-08,X,비,786,669,7.0,110,37,185,931,1717,2016,9,8,3
2016-09-09,X,구름 많음,7616,1171,6242.0,203,13,6489,1249,8865,2016,9,9,4
2016-09-10,O,구름 많음,11978,10518,,1200,86,60,4088,16066,2016,9,10,5
2016-09-11,O,구름 많음,14362,12597,254.0,1511,156,95,5156,19518,2016,9,11,6
2016-09-12,X,구름 많음,2104,1672,90.0,342,34,92,872,2976,2016,9,12,0
2016-09-13,X,구름 많음,3060,2084,729.0,247,109,670,1303,4363,2016,9,13,1
2016-09-14,O,비,9390,8214,214.0,962,407,38,2322,11712,2016,9,14,2
2016-09-15,O,구름 조금,14638,12931,400.0,1307,806,0,3303,17941,2016,9,15,3
2016-09-16,O,구름 많음,25123,21780,583.0,2760,862,30,7596,32719,2016,9,16,4
2016-09-17,O,구름 많음,15467,13452,311.0,1704,242,0,4453,19920,2016,9,17,5
2016-09-18,O,구름 많음,16059,14286,298.0,1475,253,0,5501,21560,2016,9,18,6
2016-09-19,X,구름 많음,2046,1899,35.0,112,24,34,1314,3360,2016,9,19,0
2016-09-20,X,맑음,2211,1760,41.0,410,50,867,2236,4447,2016,9,20,1
2016-09-21,X,구름 많음,1679,1566,9.0,104,33,400,2146,3825,2016,9,21,2
2016-09-22,X,구름 조금,2098,1696,6.0,396,58,781,2467,4565,2016,9,22,3
2016-09-23,X,맑음,2677,2132,160.0,385,62,1386,3032,5709,2016,9,23,4
